Temp Name,Category,Fund,Ticker
BAE Systems Public Limited,Robotics / Automation,LGI,BA
ABB Limited,Robotics / Automation,LGI,ABBN
Elbit Systems Limited,Robotics / Automation,LGI,ESLT
Emerson Electric Company,Robotics / Automation,LGI,EMR
Ping An Insurance,Smart Payments,LGI,2318.HK
Genpact Limited,Smart Payments,LGI,G
Visa Inc,Smart Payments,LGI,V
Global Payments,Smart Payments,LGI,GPN
Mastercard,Smart Payments,LGI,MA
Fidelity National Information Services,Smart Payments,LGI,FIS
Euronet Services,Smart Payments,LGI,EEFT
Paypal Holdings,Smart Payments,LGI,PYPL
FleetCor,Smart Payments,LGI,FLT
Adyen NV,Fintech,LGI,ADYEN.AS
Worldline SA,Fintech,LGI,WLN
Fiserv Inc,Fintech,LGI,FISV
East Money Information,Fintech,LGI,300059.SZ
Ingenico Group,Fintech,LGI,ING
Experian Public Limited,Fintech,LGI,EXPN
BASF SE,Material Science,LGI,BAS
Microsoft Corporation,Augmented Reality / Virtual Reality,LGI,MSFT
