ticker_yahoo
CNY=X
HKD=X
000300.SS
^HSCE
^BKCN
600519.SS
601888.SS
603288.SS
002352.SZ
603605.SS
300750.SZ
601012.SS
002475.SZ
603501.SS
300274.SZ
002241.SZ
300782.SZ
600460.SS
603290.SS
603259.SS
600276.SS
300896.SZ
2313.HK
2331.HK
6862.HK
0700.HK
9988.HK
3690.HK
9618.HK
1024.HK
9626.HK
1810.HK
1211.HK
9868.HK
2015.HK
2158.HK
3898.HK
1772.HK
2269.HK
6618.HK
6160.HK
0241.HK
1801.HK
6699.HK
6606.HK
2126.HK
1952.HK
2171.HK
NKE
EL
YUMC
YSG
TAL
EDU
BABA
SE
PDD
BILI
TME
AAPL
TSLA
TSM
NVDA
LI
MRNA
000333.SZ
000651.SZ
600887.SS
002050.SZ
002920.SZ
601318.SS
002415.SZ
002049.SZ
300253.SZ
300136.SZ
300326.SZ
0388.HK
0981.HK
1347.HK
2013.HK
1579.HK
GDS
NIO
IFNNY
XPEV
